,logFC,AveExpr,t,P.Value,adj.P.Val,B
LINC01555,1.69288350192226,-2.52501661193478,4.57571322792931,5.43022274335851e-06,3.49583372113929e-05,3.18542211744597
SERPINF2,1.0402639894172,1.62441058959485,4.57232785737891,5.51663920560876e-06,3.54812536865912e-05,3.1703840682953
DUXAP1,1.23603945628686,-3.54246703843249,4.57110324376071,5.54822283232792e-06,3.56801937465227e-05,3.16494686294465
AC073592.8,1.06859858833912,-4.5625941597254,4.56920722200014,5.5974648368244e-06,3.59841724553492e-05,3.15653138726556
DPEP1,2.48450312995623,4.27871916995309,4.56683145221146,5.65975821841551e-06,3.63376541561493e-05,3.14599125164044
NKAIN4,1.2233312153997,-1.83896039300343,4.56490309339029,5.71080856358471e-06,3.66224263554069e-05,3.13743990286317
CITED1,1.16253330801662,-0.631030498913535,4.56044217845503,5.83060196488549e-06,3.73118959248171e-05,3.11767107367965
PRKCG,1.61400815829246,0.0165242189176201,4.55944970547038,5.85757956895866e-06,3.74685246641436e-05,3.1132753720202
AC245884.12,1.10423405660722,-4.75103980612128,4.55944095417959,5.85781797976217e-06,3.74685246641436e-05,3.11323661626774
ALPP,1.93279058251833,-2.186925778627,4.55632075442023,5.94341696542362e-06,3.79760737060566e-05,3.0994230962133
TMPRSS13,1.58309730769839,1.29941113846682,4.55614040079921,5.94840123906212e-06,3.80034815758092e-05,3.0986249234817
AC106875.1,1.22032091411762,-5.30042305858124,4.55597143014018,5.95307456748121e-06,3.8028896691005e-05,3.09787715450186
HMGB1P10,1.20834033080183,-0.702299855080092,4.55310424329657,6.03291280991674e-06,3.84994579408178e-05,3.08519263121
AL117382.1,1.49118098952063,-3.32715749675629,4.5510614171063,6.09042143075286e-06,3.88382418275653e-05,3.07615974977694
AZGP1P1,1.34439459157321,-3.21468419610973,4.54514914503691,6.25983718329994e-06,3.98025801837468e-05,3.05003890045983
NMU,1.46435082642624,1.42634823090503,4.54380043359773,6.29911235643639e-06,4.00150929541566e-05,3.04408473080083
AF124730.2,1.09659461405495,-4.37884258611327,4.54030621601366,6.40196744201951e-06,4.06071679509749e-05,3.02866661291311
IGF2BP1,2.09654421454747,-0.833219643906179,4.53616022601658,6.52609648502071e-06,4.13465593939775e-05,3.01038724578969
AC015849.5,1.1054549219038,-1.47276262300915,4.53117748329316,6.67833043410499e-06,4.22181325812959e-05,2.98843977215845
ATP2C2,1.23743270515271,5.00232721053776,4.52850537994676,6.7613650251933e-06,4.2693703538784e-05,2.9766794440401
FCGR1B,1.00959334974653,-1.7903677344611,4.52239794598337,6.95488190743849e-06,4.38397217848736e-05,2.94982456057441
AC027319.1,1.02752152721463,-3.73786088419908,4.51715180611291,7.1253349734451e-06,4.48057250370866e-05,2.92678446567532
SLC45A2,1.1788075865585,-3.19735756163387,4.51411957615249,7.22567317130463e-06,4.53740750981064e-05,2.91347909859452
SLCO1B3.SLCO1B7,1.13689806795074,-5.28936181830664,4.51279710689451,7.26985706595902e-06,4.56410505306048e-05,2.90767879883792
CCL15.CCL14,1.28671173969929,-1.62629068718421,4.50948916349126,7.38151218899857e-06,4.62995194010639e-05,2.89317738729632
