,logFC,AveExpr,t,P.Value,adj.P.Val,B
FCER1A,-1.89060041779344,-1.13400244886728,-6.39940812206565,2.53734738131814e-10,3.18011491799257e-09,12.7966678537642
CCKBR,-2.59082575360644,-3.63749449850915,-6.39183121142815,2.66045629535467e-10,3.32592281681885e-09,12.7506388094905
GCOM1,-1.29778001933845,-0.551042367382151,-6.39101254893827,2.6741025633105e-10,3.34155905186812e-09,12.7456684805133
CNKSR2,-2.04223510107598,-1.65688774684325,-6.38253545854834,2.81949426604726e-10,3.51440836101766e-09,12.6942357682755
AGTR1,-2.36036829707173,-1.74469614789474,-6.38116666091236,2.84368471447546e-10,3.54213927256287e-09,12.6859367455841
DUSP1,-1.13670788952727,6.77499630549199,-6.37728010903239,2.91348287280451e-10,3.62660322549028e-09,12.6623814093827
FEV,-2.3197383341431,-3.32030432987757,-6.37504393010223,2.95439875739303e-10,3.67418917770832e-09,12.6488344589141
ZBTB20.AS4,-1.29764462497185,-4.04198020846682,-6.36870933328255,3.0733797716006e-10,3.81521803467306e-09,12.6104824576815
DENND2C,-1.40537359930678,0.524220935329634,-6.36829502361721,3.08132287380142e-10,3.82421045115881e-09,12.607975283159
TMEM25,-1.32524300604285,2.29602866001854,-6.36779180510284,3.09099753641626e-10,3.83534732881777e-09,12.6049302809469
NPY,-2.18043071624692,-3.70694995539359,-6.36494453784674,3.14630010538539e-10,3.89866072188614e-09,12.5877054430882
LGALS9C,-1.98686678303564,0.625587005073227,-6.36335189204099,3.17765497531446e-10,3.93297790338057e-09,12.5780736282733
AC093583.1,-1.78792999511093,-3.35057853211899,-6.36296052022864,3.18540668161478e-10,3.93997780305112e-09,12.5757070722715
RORA,-1.1936012632696,3.00360803268879,-6.35986722999368,3.24732819671733e-10,4.0147517115609e-09,12.5570071607074
SYT9,-1.69717303288672,-4.1106170473913,-6.3593914705033,3.25695583117825e-10,4.02483504713725e-09,12.5541317802064
CDH10,-1.83044085412187,-4.64364332247254,-6.3584639732419,3.2758053205394e-10,4.04538658855051e-09,12.5485267644395
KCNK3,-2.28802435590893,-0.264845247978261,-6.35827412016344,3.27967683160523e-10,4.04925337030809e-09,12.5473795434678
ZNF812P,-2.02577831591568,-3.26445969397826,-6.35532225542976,3.3404505438217e-10,4.12056703866324e-09,12.5295463917475
LHCGR,-1.56883731833474,-4.96912344020595,-6.35218541463384,3.40623967303875e-10,4.1979332788836e-09,12.5106040116684
PPP1R12B,-1.39640110971433,5.95626252517163,-6.35109639763515,3.42937469273242e-10,4.22454164006756e-09,12.5040297787646
NPPC,-1.91713461420036,-3.48322291632494,-6.35080055673694,3.4356860200895e-10,4.23101456508484e-09,12.5022440089106
ASXL3,-1.7159209033212,-0.725932890249314,-6.35077759367827,3.43617637775059e-10,4.23101456508484e-09,12.5021054013004
CAVIN2,-1.44007348132673,2.91009861060641,-6.34909368912219,3.47232196592881e-10,4.27455885497358e-09,12.4919424085293
MAPK4,-2.53304826922906,-1.69922161143249,-6.34865274484952,3.48184825644886e-10,4.28435748900946e-09,12.4892815510263
WDR49,-1.65169610095167,-4.18430913255149,-6.34852152189011,3.48468816793637e-10,4.28688752463517e-09,12.4884897247634
TMEM108,-1.38344666528022,-0.467682904560641,-6.34506642828294,3.5602833320367e-10,4.3769318239098e-09,12.467646348614
AP001363.1,-1.33372740939489,-4.18388182906178,-6.34471692805854,3.56801889705288e-10,4.38447076104936e-09,12.4655385115514
NECAB1,-1.68372333996249,-0.45177870210984,-6.34341924543914,3.59688487144889e-10,4.41498245161348e-09,12.457713109248
PCDH9,-2.03449450082672,-0.445856465978261,-6.34101853946026,3.65089005920968e-10,4.47825592707947e-09,12.4432400032676
MAP6,-1.51235994300968,0.672607240496568,-6.34068032667185,3.65856178598149e-10,4.48565426774844e-09,12.4412014254535
CADM3.AS1,-1.97310522487962,-2.86078450654577,-6.33580902813859,3.77082257740842e-10,4.61708396846549e-09,12.4118506671112
SCN2B,-1.93898657543606,-2.25406833964874,-6.33574069711757,3.77242100405822e-10,4.61800731461424e-09,12.4114391023682
PLIN1,-1.72105394934762,-0.772865456383295,-6.32995160783631,3.91027509942896e-10,4.77927366621826e-09,12.3765855218483
HBA2,-1.71454593375288,1.68431697294622,-6.32819113379801,3.9531650480789e-10,4.82889886588263e-09,12.3659922372356
SDR9C7,-1.58496564972055,-5.36596506323799,-6.32675789229921,3.98842212662886e-10,4.86717421276139e-09,12.3573699905282
PLIN4,-2.3618394751258,1.39077722057323,-6.31891525798291,4.1868604138962e-10,5.09692078767142e-09,12.3102209806362
MRGPRX2,-1.15069803653645,-5.8836452168524,-6.3187309729959,4.19163749624672e-10,5.10150451395671e-09,12.3091137221247
DCLK1,-1.82486366792005,0.8922175224627,-6.31824807111582,4.20418069620217e-10,5.11563210631318e-09,12.3062123926476
AC016582.3,-1.63178341218813,-2.92453804508009,-6.31576229132668,4.26933088533734e-10,5.18913450607835e-09,12.2912807454557
LINC02106,-1.67075015369774,-4.84070360264302,-6.31078490661224,4.40276483672642e-10,5.34419047369622e-09,12.2613985746054
MYLK,-1.55392590304047,6.52666050915332,-6.30817005945663,4.47448875848186e-10,5.42884122992825e-09,12.2457087207759
AL021026.1,-1.35588290862501,-5.33467929844394,-6.30409436962023,4.58856661948597e-10,5.56478162423027e-09,12.2212652127666
GFRA3,-1.99773718651139,-0.720410982345538,-6.30090194254983,4.67990349136453e-10,5.66550069632985e-09,12.2021290472764
AC093607.1,-1.50702747125046,-5.01453000109497,-6.29854173068035,4.74857075004017e-10,5.74481480144762e-09,12.1879870655892
RASGEF1C,-1.77026667045338,-3.15742718170103,-6.29784346413866,4.76907403591752e-10,5.76706841464755e-09,12.183804100181
AC022893.2,-1.6596355599923,-4.45799105969908,-6.2907660394271,4.98183499239465e-10,6.00047269123597e-09,12.1414306827047
GRIA1,-1.77478128035162,-3.16320920125858,-6.28951596962055,5.02036673343693e-10,6.04156124280161e-09,12.1339508801631
MGAM,-1.93571753150029,0.289500499597254,-6.2867017950337,5.1081792205657e-10,6.13643449305603e-09,12.1171172113636
FBXL22,-1.18672025409917,0.862482157273455,-6.28186692800869,5.2625630464047e-10,6.31357503450548e-09,12.0882123424218
KRT2,-1.7209392215662,-4.10939421868421,-6.27233047676822,5.58056115905725e-10,6.67312620451763e-09,12.0312589654566
